waste,items_required,product_type,products_made,difficulty,usefulness_score
plastic_spoon+plastic_bottle,hot_glue+led,lighting,artichoke_lamp+pinecone_light,medium,8
old_belt+wood_plank,nails+hammer,furniture,hanging_shelf+wall_display,medium,9
cereal_box+magnet,scissors+glue,utility,magnetic_notepad_holder+fridge_pocket,easy,8
glass_jar+salt+chalk,paper,decoration,colored_sand_art+terrarium,easy,5
paper_cup+string,needle,toy,string_phone+mini_basket,easy,4
bottle_cap+resin,molds,fashion,custom_keychain+pendant,medium,7
cardboard+rubber_band,push_pins+wood_board,toy,pinball_machine+geoboard,medium,7
old_tshirt+scissors,none,fashion,no_sew_tote_bag+fringe_shirt,easy,8
tin_can+wood_peg,hot_glue+rope,gardening,hanging_herb_garden+balcony_planter,medium,8
cardboard_tube+rice,tape+paint,toy,rainmaker_instrument+maraca,easy,5
plastic_bottle+heat_gun,scissors,craft_supply,plastic_string_rope+shrink_charms,hard,8
old_book_pages+wire,glue,decoration,paper_rose+origami_bouquet,medium,6
shoe_box+toilet_roll,glue+paint,toy,hot_wheels_garage+parking_lot,easy,7
pallet_wood+mason_jar,pipe_clamp+screws,storage,bathroom_organizer+makeup_brush_holder,hard,9
broken_crayons+silicone_mold,oven,craft_supply,rainbow_crayons+custom_shaped_crayons,easy,7
old_ladder+wood_planks,paint+nails,furniture,rustic_bookshelf+shoe_rack,medium,9
plastic_jug+led_tea_light,sharpie,decoration,glowing_ghost_decor+halloween_lantern,easy,6
cardboard+foil,glue,gadget,wifi_signal_booster+solar_cooker,medium,8
wine_cork+succulent,knife+soil,gardening,mini_planter+fridge_magnet_garden,easy,7
paper_plate+yarn,hole_punch,craft,dream_catcher+weaving_loom,easy,5
old_tire+rope,hot_glue+wood_circle,furniture,ottoman_seat+garden_table,hard,9
glass_jar+baking_soda,paint+sponge,home_decor,faux_ceramic_vase+textured_pot,easy,8
plastic_fork+yarn,scissors,craft_supply,pom_pom_maker+tassel,easy,6
plastic_spoons+cardboard,hot_glue+paint,decoration,lotus_flower+sunburst_mirror,easy,6
old_tires+paint,soil+plants,gardening,flower_bed+garden_border,easy,8
cardboard+yarn,glue+scissors,decoration,wrapped_letters+yarn_rainbow,easy,5
glass_jars+twine,hot_glue,storage,rustic_pen_holder+makeup_brush_cup,easy,7
tin_cans+burlap,hot_glue,decoration,rustic_centerpiece+cutlery_holder,easy,6
plastic_bottles+zipper,hot_glue+needle,storage,pencil_case+small_coin_purse,easy,7
old_books+mod_podge,brush,desk_item,hidden_storage_book+book_safe,medium,8
wooden_crates+wheels,drill+screws,furniture,rolling_cart+under_bed_storage,medium,9
pallet_wood+paint,saw+nails,decoration,rustic_wood_sign+welcome_board,medium,7
egg_cartons+wire,scissors+paint,decoration,flower_fairy_lights+wreath,easy,6
shoe_boxes+wrapping_paper,tape+glue,storage,memory_box+photo_storage,easy,8
plastic_jugs+scissors,marker,utility,garden_scoop+dog_food_scooper,easy,9
old_jeans+wood_hoop,scissors,storage,hanging_pocket_organizer+tool_belt,easy,8
bottle_caps+magnets,hot_glue,utility,fridge_magnets+whiteboard_pins,easy,7
paper_rolls+fabric,glue,desk_item,stationery_organizer+hairband_stand,easy,6
old_picture_frames+wire,staple_gun,storage,earring_holder+jewelry_display,easy,8
glass_bottles+fairy_lights,cork_stopper,lighting,bottle_lamp+table_light,easy,7
broken_crayons+silicone_mold,oven,toy,rainbow_crayons+fun_shaped_crayons,easy,7
old_tshirts+scissors,none,fashion,tote_bag+produce_bag,easy,8
cardboard_boxes+rope,hot_glue,storage,woven_basket+laundry_bin,medium,8
tin_cans+clothespins,none,gardening,mini_planter+herb_pot,easy,7
mason_jars+soap_pump,drill,utility,soap_dispenser+lotion_pump,medium,8
wood_scraps+nails,hammer+paint,toy,wooden_blocks+toy_car,easy,6
plastic_straws+wire,scissors,decoration,himmeli_geometric_sculpture+mobile,medium,5
old_socks+stuffing,needle+thread,toy,sock_monkey+plush_bunny,medium,7
cereal_boxes+magazines,glue+scissors,storage,magazine_holder+file_organizer,easy,8
broken_plates+cement,hammer+mold,gardening,stepping_stones+garden_path,hard,8
old_sweaters+pillow_insert,needle+thread,decoration,throw_pillow+cushion_cover,easy,8
plastic_lids+clock_mechanism,drill,desk_item,wall_clock+desk_clock,medium,8
wine_corks+wood_board,hot_glue,utility,bulletin_board+trivet_mat,medium,8
old_belts+wood_planks,nails+hammer,furniture,hanging_shelf+wall_rack,medium,9
paper_bags+oil,sponge,lighting,faux_leather_lampshade+lantern,medium,6
glass_jars+tissue_paper,mod_podge,lighting,stained_glass_votive+candle_holder,easy,7
cardboard_tubes+rice,tape,toy,rainmaker+shaker_toy,easy,5
old_ladder+wood_boards,nails,furniture,rustic_bookshelf+plant_stand,medium,9
plastic_forks+lace,hot_glue,decoration,decorative_fan+wall_ornament,easy,4
tin_mints_box+wax,wick,utility,travel_candle+survival_light,easy,8
old_shutters+hooks,screws,storage,mail_organizer+key_rack,hard,8
plastic_containers+ziplock,scissors,utility,bag_sealer+dispenser_cap,easy,9
old_vinyl_records+boiling_water,oven_mitts,utility,fluted_bowl+desk_tray,medium,7
cardboard+mirror_pieces,hot_glue,decoration,disco_ball+mosaic_mirror,medium,7
old_globe+pendant_light,knife,lighting,globe_lamp+hanging_light,medium,8
wooden_pallets+cushions,saw+screws,furniture,pallet_bed+outdoor_sofa,hard,9
old_puzzles+glue,cardboard,decoration,puzzle_heart_art+frame_border,easy,5
old_suitcases+furniture_legs,drill+screws,furniture,vintage_table+pet_bed,hard,9
egg_cartons+soil,seeds+water,gardening,seed_starter_pots+plant_starters,easy,9
paper_scraps+blender,water+screen,desk_item,recycled_paper+seed_paper,medium,7
old_rake+screws,wall_anchors,storage,wine_glass_holder+tool_rack,easy,8
light_bulbs+wire,pliers+safety_glasses,decoration,mini_terrarium+hanging_vase,hard,6
bottle_caps+resin,coasters_mold,utility,bottle_cap_coaster+table_mat,medium,7
old_doors+table_legs,drill+screws,furniture,dining_table+headboard,hard,9
plastic_bags+crochet_hook,scissors,utility,plarn_sleeping_mat+shopping_bag,medium,9
cardboard+t_shirt,wire_hangers+tape,pet_supply,cat_tent+pet_hideout,easy,8
coffee_filters+food_coloring,pipe_cleaners,decoration,paper_flowers+butterfly_craft,easy,5
old_cd_cases+glue,seeds+soil,gardening,mini_greenhouse+seed_sprouter,easy,7
paper_plates+yarn,hole_punch,decoration,dream_catcher+weaving_loom,easy,5
glass_jars+baking_soda,paint+sponge,decoration,faux_ceramic_vase+textured_pot,easy,8
old_neckties+zipper,needle+thread,fashion,glasses_case+pencil_pouch,medium,7
plastic_bottle+broom_stick,scissors+wire,utility,outdoor_broom+cobweb_sweeper,medium,9
cardboard_box+fabric,spray_adhesive,storage,foldable_storage_bin+drawer_organizer,medium,8
pallet_wood+screws,drill+saw+sandpaper,gardening,vertical_garden+planter_box,hard,9
wine_bottle+candle_wax,glass_cutter+wick,lighting,bottle_candle+hurricane_lamp,hard,7
